Fiscal Year,Reported Migrant Deaths Arizona OpenGIS Initiative,Reported Migrant Deaths Border Patrol Tucson Sector,Deaths Not Recorded By Border Patrol Tucson Sector
2015,149,63,86
2016,150,84,66
2017,144,73,71
2018,123,58,65
2019,133,61,72
5-Year Total,699,339,360
